"V1","V2"
"Tnfaip2","Slfn2"
"Tnfaip2","Il1a"
"Ptgs2","Il1b"
"Il1a","Il1b"
"BC002288","2410001C21Rik"
"Tnfaip2","Il1b"
"Tnfaip2","Slfn2"
"Ifi47","Sqstm1"
"Tnfaip2","Clec4d"
"Nup133","Igf2bp3"
"Il1b","Ifi205"
"Igf2bp3","Cnp"
"Atp5f1","Slc25a1"
"Il1a","Ptgs2"
"Ifi47","Slfn5"
"Cnp","Eml3"
"Il1a","Clec4d"
"Il1a","AI607873"
"Acsl1","Pyhin1"
"Il1b","AK006748"
"Gbp5","Xaf1"
"Irg1","Cd14"
"Slfn2","Il1b"
"Slfn2","AK006748"
"Slfn5","Ccl5"
"Cd74","C1qb"
"Ifi205","Ifit1"
"Ifi47","Ifi205"
"Slfn2","AK006748"
"Nudcd2","Trappc9"
"Cd74","Cfp"
"Nlrp3","Cpeb4"
"Ptgs2","Sqstm1"
"Ddx58","Serpinb2"
"Dab2","Rfc2"
"Papss2","Lsm5"
"Pyhin1","Rnf213"
"Ptgs2","Slc7a2"
"Ccl5","Irgm1"
"Sqstm1","Cd40"
"Il1b","Clec4d"
"Ptgs2","Irgm1"
"Pnp","Cd38"
"Hagh","A230051G13Rik"
"C1qb","Apoe"
"Il1a","Il1b"
"Il1b","Cd40"
"Slfn2","Il1b"
"Ccl5","Gbp3"
"Lrch3","Prkar1a"
"Mobkl1a","AK017779"
"Lima1","Arfgap2"
"Hdgfrp2","Exosc3"
"Akr1b8","Opa1"
"Gbp5","Xaf1"
"Clec4d","Cd40"
"Sqstm1","Irg1"
"Il1b","Sqstm1"
"Pla2g7","Csf1r"
"Trip12","AK008288"
"C1qb","Cfp"
"Gbp3","Bst2"
"Slc25a4","Ftsj3"
"Sdcbp","Cebpb"
"Ifi205","Cd40"
"Ccdc93","Ate1"
"AK048828","Atp2b1"
"Clec4d","Cd14"
"Apoe","mKIAA0074"
"Il1b","AI607873"
"Irgm1","Parp14"
"Ccl5","Ifih1"
"Parp14","Oasl1"
"Ddx24","Sash1"
"Parp14","Tlr2"
"Nedd8","1110007C09Rik"
"Rnf114","Rassf4"
"Dctn3","Gabpb1"
"Dnaja1","Rbpms"
"Sqstm1","Clec4d"
"Sep8","Rpia"
"Tnfaip2","AK006748"
"Acsl1","Saa3"
"Irgm1","Parp14"
"Il1a","Ptgs2"
"Apoe","Lpl"
"Tnfaip2","AI607873"
"BC002288","Ifi47"
"Slfn5","Ifih1"
"Tlr2","Rsad2"
"Pyhin1","Irg1"
"Irg1","mFLJ00294"
"Slc3a2","Tsc22d4"
"Cwc27","Ddt"
"Tsc22d4","Xdh"
"Gbp5","Tlr2"
"Rplp2","Baz1a"
"Rnf213","Dtx3l"
"Ube2n","Mrpl50"
"A230051G13Rik","Rpl3"
"Ifi205","Ifih1"
"Bcap31","Slc25a11"
"Rfc1","Diws1t"
"Ifi47","Irg1"
"Psmc2","2310022A10Rik"
"Cnot2","Maea"
"Pyhin1","Cmpk2"
"Slfn5","Irgm1"
"Ifih1","Marcksl1"
"Cd40","Trafd1"
"Tnfaip2","Irg1"
"Dnaja1","Nr3c1"
"Marcksl1","Znfx1"
"Ifi205","Cd40"
"Mndal","Pid1"
"Clec4d","Parp14"
"Il1b","AK006748"
"Bckdhb","Vti1b"
"Cyb5r4","mKIAA0268"
"Zbtb7a","Rnaset2a"
"Mobkl1a","Dnaja1"
"Sqstm1","Ifi205"
"Irg1","Serpinb2"
"Gbp5","Irg1"
"BC002288","Rsad2"
"Sqstm1","Slc7a2"
"C3","Lcn2"
"Ptgs2","Cd40"
"Cd14","Rsad2"
"Ifi47","Rsad2"
"Ifit1","Trex1"
"Trip12","Rnaset2a"
"Clybl","Gnl1"
"Diws1t","Tmsb10"
"Dnaja1","Tank"
"Ifit1","Itga5"
"Irg1","Irgm1"
"Bst2","Ifitm3"
"Il1a","AK006748"
"Slc7a2","Ifit3"
"Car2","Atp5k"
"Rprd1b","MRPL4"
"Gbp5","Slc7a2"
"Zbtb7a","Zc3hav1"
"Rassf4","Poldip3"
"Rbpms","mKIAA0136"
"Trafd1","Znfx1"
"Itga5","Fpr2"
"Ifih1","Oasl1"
"mFLJ00294","Ifi35"
"Ifi47","Ifih1"
"Ppa1","Smarcd2"
"Ifit1","Cfb"
"Papss2","Rin3"
"Cd40","Trex1"
"Sqstm1","Cd14"
"Irg1","Gm4902"
"Pyhin1","Ccl5"
"Cnp","Cpsf1"
"Tm9sf3","Serpinb6a"
"Cnp","Cnot2"
"Pygb","Mrps30"
"Gbp5","Irg1"
"Irgm1","Cd40"
"Slc7a2","Cd40"
"Slc7a2","Ifih1"
"Ifi205","Ifit1"
"Tlr2","Dhx58"
"Hacl1","Lepre1"
"Tmed7","2610034B18Rik"
"Ddx58","Rel"
"Ptgs2","Clec4d"
"Ifi205","Pyhin1"
"Ifi47","Sqstm1"
"Gatad2a","Rbm47"
"Ddt","nssr 1"
"Tlr2","Cmpk2"
"Ogfr","Il1f9"
"AK008288","Rnaset2a"
"Arrb1","Galm"
"Snx27","Mvk"
"Galm","Gsk3a"
"Dnaja1","Nr3c1"
"Lyz2","Asph"
"Gbp5","Irgm1"
"Pnp","Cd38"
"Slc25a1","Cox4i1"
"Trip12","Zbtb7a"
"Irgm1","Ifih1"
"Pddc1","Ilf2"
"Acsl1","Tor1aip1"
"Chrac1","Psmf1"
"Slc2a6","Dnaja2"
"Ptgs2","Cd14"
"Selenbp1","Lss"
"Rnf213","Parp9"
"Ric8","Plxdc2"
"Ptgs2","Ifi47"
"Ifi47","Znfx1"
"Nr3c1","Zc3hav1"
"Supt6h","Lemd2"
"Ngp","Ltf"
"Ifit1","Dtx3l"
"Tnfaip2","Il1a"
"Tmed10","Adap1"
"BC002288","Ifit1"
"Pyhin1","Cfb"
"Cat","Bud31"
"Trex1","Ifit2"
"Epb4.1l1","Jund"
"Nck1","Commd8"
"Irg1","Slc7a2"
"Sap30bp","Fam172a"
"Il1a","AK006748"
"Xaf1","AK087295"
"Plbd1","Cdc73"
"Trip12","Dnaja1"
"Acsl1","Ifi35"
"Mvk","Mgea5"
"Pla2g7","Pf4"
"Gbp5","Itga5"
"Adap1","Tmem43"
"Lcn2","Ltf"
"Psmd11","Gsdmd"
"Ccl5","Cmpk2"
"Ddx58","Gbp2"
"Mvk","Nmral1"
"Cfb","Sp100"
"Ifi205","Slfn5"
"Xaf1","Cpeb4"
"Irgm1","Itga5"
"Cmpk2","Fpr2"
"Tor1aip1","Ehd1"
"Magoh","Rbm33"
"Tor1aip1","Ftsjd2"
"Ifi47","Ccl5"
"Trip12","AK008288"
"Pyhin1","Itga5"
"Bud31","Mki67"
"Cd40","Trafd1"
"mFLJ00294","Mt2"
"Pcbp2","Chmp4b"
"Armc8","Pitpnm1"
"Sqstm1","Irg1"
"Psmd3","Gusb"
"Gstm7","AI837181"
"Il1b","Zfand5"
"Slc7a2","Rsad2"
"Xrn2","Crnkl1"
"2410001C21Rik","Zeb2"
"Slc2a6","Psmb10"
"Xaf1","Ccl5"
"Opa1","Magoh"
"Snrnp70","Pdxk"
"Ifi47","Clec4d"
"Slc7a2","Cd40"
"Gbp5","Bst2"
"Mat2a","Srxn1"
"mKIAA1108","Ankrd17"
"Sqstm1","Gbp5"
"Ifi47","Slfn5"
"Tnfaip2","C5ar1"
"Hmbs","Atp5l"
"Stxbp3a","Stat2"
"Ptgs2","Ifi205"
"Ifi47","Cd14"
"Il1b","Irg1"
"Ptgs2","Ifih1"
"Smarcd2","Ppp1r14b"
"Cpeb4","Trim30a"
"Cd14","Cyp4v3"
"Gatad2a","Mpp1"
"Cd40","Zfand5"
"AK040794","Hectd3"
"Oasl1","Ifitm3"
"Car2","Stom"
"Gbp3","Malt1"
"Sfxn3","Rpl34"
"Gusb","Lman1"
"Rel","Tra2a"
"Tnfaip2","Il1b"
"Adap1","Lman1"
"Ifit2","Mcat"
"Ptgs2","Ccl5"
"Dlst","Gpx1"
"Prkar1a","Csde1"
"BC002288","Slc7a2"
"Apoe","Mmp12"
"Magoh","Ranbp10"
"Cdc73","Lta4h"
"Ptgs2","Sqstm1"
"Serpinb2","H1f0"
"Cmpk2","Ifit3"
"Zbtb7a","Trps1"
"Ifit1","Slc7a2"
"Ifi205","Cmpk2"
"Irg1","Oas1g"
"Gbp5","Parp14"
"A230051G13Rik","Cdk5"
"Lsm5","Exoc7"
"F10","Micall2"
"Xaf1","Ifitm3"
"2410001C21Rik","Pla2g7"
"Tnfaip2","Zfand5"
"Pdlim7","Hectd1"
"Mrmt1","B4galnt1"
"Nfs1","Camkk2"
"Camkk2","Cyc1"
"Pyhin1","Cd40"
"0610037L13Rik","mKIAA0676"
"Il1b","Ifi47"
"Bst2","Tlr2"
"Ncf4","Ttc37"
"Tank","Rhbdf2"
"Il1a","Nlrp3"
"Nmral1","Mat2b"
"Fam50a","Fam98c"
"Bst2","Cmpk2"
"Hectd1","0610031J06Rik"
"Ifit1","Gbp2"
"Abhd12","Atp1b3"
"Smek1","Ddx18"
"nssr 1","Mogs"
"Rgs10","Fabp4"
"Irgm1","Oasl1"
"2410001C21Rik","AK087295"
"Ifih1","Itga5"
"Gbp5","Itga5"
"Ngp","Tcea1"
"Rnf213","Irgm1"
"Nmral1","Spr"
"Dnaja2","Psmb10"
"Ddx19a","1110059G10Rik"
"Ppp4r2","Yy1"
"Nmral1","Rplp1"
"mKIAA0887","Pcx"
"Ifi205","Gbp5"
"Ptgs2","Clec4d"
"Zc3hav1","mKIAA0136"
"Gm4902","Gbp2"
"Ccl5","Rsad2"
"Lsm12","Kcmf1"
"Saa3","Cfb"
"Rgs10","Rab11fip5"
"Pcmt1","Palm"
"Xaf1","Ifit2"
"Ap1g1","Tlr13"
"Cmpk2","Oas1g"
"Psmb9","Trip11"
"Ddx24","Rsad2"
"Naa50","Nufip2"
"Eif1","Sap30"
"Cdc73","Tubb6"
"BC002288","Irg1"
"Sh3glb1","Sec61b"
"Ric8","Gak"
"Sqstm1","Ifi205"
"Fcgr2b","Trim25"
"Ttc37","Rnf40"
"Tnfaip2","Cd40"
"Atp2b1","AK079263"
"Cpeb4","Cd40"
"Uqcrc2","Mocos"
"Ap3d1","Cog2"
"Fabp4","Ints3"
"Pyhin1","Ifih1"
"Clec4d","Zfand5"
"Rplp1","Tsc2"
"Slfn5","Ifitm3"
"limd1","Clip1"
"2610034B18Rik","Rnf40"
"Il1a","Ifi205"
"Thbs1","Zmiz1"
"Slfn5","Slc7a2"
"Trip12","Zbtb7a"
"5031439G07Rik","Lin7c"
